Ant-Man (Eric OGrady)	#40100,#c8a620
Amadeus Cho	#912616,#8f462f
Anthem	#25101a,#26110e
Arcana	#25101a,#26110e
Arclight	#928c88,#f0eadf
Banshee (Theresa Rourke)	#84a7c5,#d3e2f1
Absorbing Man	#2e719d,#5ea3ca
Alvin Maker	#25101a,#26110e
Bedlam	#25101a,#26110e
Alicia Masters	#fbe8d1,#d0905
Artiee	#25101a,#26110e
Albert Cleary	#25101a,#26110e
American Eagle (Jason Strongbow)	#cce0e8,#505d67
Adam Warlock	#caa61a,#3c0703
Alice	#50200,#b9912a
Banshee	#9b9593,#8f4959
A-Bomb (HAS)	#115291,#132a49
Baron Zemo (Helmut Zemo)	#10000,#221224
Adam Destine	#25101a,#26110e
Alexander Pierce	#25101a,#26110e
Azazel (Mutant)	#25101a,#26110e
Agent Brand	#39b2ba,#4bc3cc
Alpha Flight (Ultimate)	#25101a,#26110e
Bastion	#c9a61c,#211915
Alpha Flight	#492d60,#190c07
Abyss	#50302,#a1015
Arachne	#a33929,#912616
Arcade	#466689,#7ea1ba
Beast (Earth-311)	#795d47,#241a1e
Angela (Aldrif Odinsdottir)	#9a4629,#4a2e5d
Angel (Thomas Halloway)	#c18954,#c3641a
3-D Man	#999896,#416b3b
Ares	#a0302,#5db8c5
Agents of Atlas	#fdfbf5,#171c1f
Armory	#25101a,#26110e
Battering Ram	#ffffff,#e9f0f7
Aurora	#a19082,#806d5f
Bart Rozum	#25101a,#26110e
Avengers (Ultimate)	#25101a,#26110e
Barracuda	#25101a,#26110e
Argent	#25101a,#26110e
Armor (Hisako Ichiki)	#f53c01,#fd4208
Akemi	#25101a,#26110e
Aegis (Trey Rollins)	#fefefe,#180d09
Alex Power	#fcf2e5,#136b87
Ajaxis	#bd8a95,#cdd4dc
Amanda Sefton	#25101a,#26110e
Amazoness	#25101a,#26110e
Arsenic	#392310,#7a5a32
Agent X (Nijo)	#25101a,#26110e
Archangel	#b79c7d,#f4d178
Aqueduct	#f9f8f5,#566471
Alain	#25101a,#26110e
Baron Strucker	#fefefe,#a0508
Atlas (Team)	#25101a,#26110e
Amun	#25101a,#26110e
Becatron	#25101a,#26110e
Ajak	#4c6976,#c141c
Angel (Ultimate)	#f5dfc6,#55c0c9
Beef	#ffffff,#e9f0f7
Alexa Mendez	#25101a,#26110e
Amiko	#25101a,#26110e
Agent Zero	#ebd7c5,#f1a20
